chemicalComposition,Equation,activationEnergy,reactionEnergy,facet
Ag25,Pd(g) + * -> Pd*,,-2.66204748575,111
Ag26Au,Au(g) + * -> Au*,,-2.83190802616,100
Au26Pd,Au(g) + * -> Au*,,-2.77045533081,100
Os2Pd24,Os(g) + * -> Os*,,-8.77583902865,100
Cu37,Au(g) + * -> Au*,,-3.03689962122,211
Ir3Pt24,Pt(g) + * -> Pt*,,-6.27795048183,111
Ag2Rh24,Ag(g) + * -> Ag*,,-2.54239337931,100
Au24Cu3,Cu(g) + * -> Cu*,,-2.86922878092,100
Re2Rh24,Re(g) + * -> Re*,,-7.96507152527,111
Pd36Zn,Pd(g) + * -> Pd*,,-3.08711911668,211
Pd25Ru,Ru(g) + * -> Ru*,,-5.49659896192,100
Au2Ir25,Ir(g) + * -> Ir*,,-6.50757892472,100
Au24Cu2,Cu(g) + * -> Cu*,,-2.8249665379,111
PdRh25,Pd(g) + * -> Pd*,,-3.79591896148,111
Au24Re,Au(g) + * -> Au*,,-1.8125436914,100
Ir24Os2,Os(g) + * -> Os*,,-8.30424245997,111
Ir24,Pt(g) + * -> Pt*,,-4.28789794601,111
Cu25Rh,Cu(g) + * -> Cu*,,-3.15298781166,100
AgRh26,Ag(g) + * -> Ag*,,-2.84931460497,111
Ir36Os,Ir(g) + * -> Ir*,,-6.70273435238,211
Ag37,Ir(g) + * -> Ir*,,-4.264804868,211
Ag24Cu3,Ag(g) + * -> Ag*,,-2.55575920347,111
ReRh25,Re(g) + * -> Re*,,-7.19723460777,111
Ag2Pd24,Pd(g) + * -> Pd*,,-3.42584249214,100
AgRh25,Rh(g) + * -> Rh*,,-4.92184246789,100
AgRh36,Rh(g) + * -> Rh*,,-5.05111763571,211
Ir24Os3,Os(g) + * -> Os*,,-9.6402273826,111
OsPt24,Os(g) + * -> Os*,,-4.32579184056,100
Ag2Pt25,Pt(g) + * -> Pt*,,-5.35590106691,111
CuRh24,Rh(g) + * -> Rh*,,-5.06656628731,100
Au24Rh2,Rh(g) + * -> Rh*,,-3.98632770316,100
Pd36,Os(g) + * -> Os*,,-5.09242975641,211
CuIr37,Cu(g) + * -> Cu*,,-3.79447430906,211
Ag24Ru2,Ru(g) + * -> Ru*,,-7.05992827179,100
Pd25Rh,Rh(g) + * -> Rh*,,-4.72260492432,100
Ag25Au,Ag(g) + * -> Ag*,,-2.38457149576,100
Os2Pt25,Pt(g) + * -> Pt*,,-5.89399593399,100
Cu26Re,Cu(g) + * -> Cu*,,-4.24358570209,111
Ag26Re,Re(g) + * -> Re*,,-6.33630863049,100
AgIr25,Ag(g) + * -> Ag*,,-2.56968286104,111
Pd36Re2,Re(g) + * -> Re*,,-5.1279203414,211
AgPd26,Pd(g) + * -> Pd*,,-3.63577887202,100
Au2Rh24,Au(g) + * -> Au*,,-2.98351081571,111
Au24Re3,Au(g) + * -> Au*,,-4.47263597109,111
